Physiochem Summary,Oil & Grease,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,TSS,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Naphthalene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,2-Chloronaphthalene,μg/L,0.000%,0.000%,,0.001%,0.002%,0.003%,0.003%,0.002%
PAH Summary,Acenaphthene,μg/L,0.258%,0.120%,,0.318%,2.243%,2.373%,2.479%,1.677%
PAH Summary,Fluorene,μg/L,0.090%,0.132%,,0.766%,3.930%,3.579%,3.919%,2.707%
PAH Summary,9h-fluorene-9methylene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Fluoranthene,μg/L,0.565%,0.890%,,1.020%,2.227%,1.367%,1.450%,0.817%
PAH Summary,Pyrene,μg/L,0.166%,0.254%,,0.352%,1.022%,0.679%,0.669%,0.383%
PAH Summary,Triphenylene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Benzo[j] fluoranthene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Chrysene,μg/L,3.590%,3.333%,,3.846%,3.590%,514.359%,1.026%,1.538%
PAH Summary,"Dibenz[a,h]anthracene",μg/L,17435.897%,18461.538%,,49743.590%,307692.308%,151538.462%,249743.590%,113589.744%
PAH Summary,Benzo[ghi] perylene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Dibutylphthalate,μg/L,3.900%,4.174%,,3.180%,4.033%,32.204%,5.590%,3.936%
PAH Summary,Benzylbutylphthalate,μg/L,145.667%,418.667%,,378.000%,201.000%,181.333%,203.000%,147.667%
PAH Summary,Bis(2-ethylhexyl)phthalate,μg/L,9428.288%,6596.577%,,4236.126%,7139.459%,5495.405%,4343.604%,5759.730%
PAH Summary,"2,4-Dimethylphenol",μg/L,0.004%,0.005%,,0.003%,0.009%,0.084%,0.013%,0.008%
PAH Summary,"2,4-Dichlorophenol",μg/L,0.048%,0.222%,,0.250%,0.059%,0.587%,0.073%,0.047%
PAH Summary,4-Chloro-3-methylphenol,μg/L,0.015%,0.051%,,0.052%,0.064%,0.182%,0.203%,0.042%
PAH Summary,Bis(2-chloroethyl) ether,μg/L,48.424%,54.409%,,54.712%,75.318%,91.864%,64.227%,25.061%
PAH Summary,Nitrobenzene,μg/L,0.049%,0.066%,,0.067%,0.140%,0.240%,0.050%,0.052%
PAH Summary,Isophorone,μg/L,0.004%,0.009%,,0.021%,0.247%,0.260%,0.314%,0.305%
PAH Summary,Bis(2-chloroethoxy)methane,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
BOD Summary,BOD,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Onsite Summary,pH,pH scale,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Onsite Summary,TDS,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Onsite Summary,DO,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Onsite Summary,Temperature,Celsius,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Pesticides - 104,Beta lindane,μg/L,,,,2269.048%,,,,
Pesticides - 104,Delta lindane,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Alpha lindane,μg/L,,,,158376.068%,,,,
Pesticides - 104,Gamma lindane,μg/L,,,,18.136%,,,,
Pesticides - 104,Heptachlor,μg/L,,,,1135593.220%,,,,
Pesticides - 104,Heptachlor epoxide,μg/L,,,,780208.333%,,,,
Pesticides - 104,Chlordane,μg/L,,,,BDL,,,,
Pesticides - 104,Alpha endosulfan,μg/L,,,,14.418%,,,,
Pesticides - 104,Trans chlordane,μg/L,,,,Not in Standard,,,,
Pesticides - 104,"p, p'-DDE",μg/L,,,,1024074.074%,,,,
Pesticides - 104,Endrin aldehyde,μg/L,,,,245.067%,,,,
Pesticides - 104,Endosulfan sulfate,μg/L,,,,0.632%,,,,
Pesticides - 104,"p, p'-DDT",μg/L,,,,2502222.222%,,,,
Pesticides - 104,Methoxychlor,μg/L,,,,123.333%,,,,
Pesticides - 104,Sulfotep,μg/L,,,,Not in Standard,,,,
Pesticides - 104,"o, o, o-triethyl
thiophosphate",μg/L,,,,Not in Standard,,,,
Conditional formatting: values above recommended standard,,,,,,,,,,
,,,,,,,,,,
PERCENT Comparison for India Designated Best Use,,,,,,,,,,
TAB,PARAMETER,UNIT,M0101,M0102,M0103,M0104,M0105,M0106,M0107,M0108
Physiochem Summary,pH,pH scale,Class A,Class A,,Class A,Class A,Class A,Class A,Class A
Physiochem Summary,Temperature,°C,,,,,,,,
Physiochem Summary,Total Dissolved Solids,mg/L,,,,,,,,
Physiochem Summary,EC,µS/cm,Within Range,Within Range,,Above Range,Within Range,Within Range,Within Range,Within Range
Physiochem Summary,Turbidity,NTU,,,,,,,,
Physiochem Summary,Ammonia as NH3,mg/L,Class D or Better,Class E,,Class E,Class D or Better,Class E,Class E,Class D or Better
Physiochem Summary,Sulphide as S^{2-},mg/L,,,,,,,,
Physiochem Summary,Chloride as Cl^{-},mg/L,,,,,,,,
Physiochem Summary,Total Hardness as CaCO_{3},mg/L,,,,,,,,
Physiochem Summary,Calcium as Ca,mg/L,,,,,,,,
Physiochem Summary,Magnesium as Mg,mg/L,,,,,,,,
Physiochem Summary,P-Alkalinity as CaCO_{3},mg/L,,,,,,,,
Physiochem Summary,OH-Alkalinity,mg/L,,,,,,,,
Physiochem Summary,CO3-Alkalinity,mg/L,,,,,,,,
Physiochem Summary,HCO3-Alkalinity,mg/L,,,,,,,,
Physiochem Summary,Total Alkalinity as CaCO_{3},mg/L,,,,,,,,
Physiochem Summary,Nitrate as NO_{3},mg/L,,,,,,,,
Physiochem Summary,Nitrite as NO_{2},mg/L,,,,,,,,
Physiochem Summary,Fluoride as F^{-},mg/L,,,,,,,,
Physiochem Summary,Sulphate as SO_{4},mg/L,,,,,,,,
Physiochem Summary,Phosphorus as P,mg/L,,,,,,,,
Physiochem Summary,Chromium (VI),mg/L,,,,,,,,
Physiochem Summary,COD,mg/L,,,,,,,,
Physiochem Summary,Oil & Grease,mg/L,,,,,,,,
Physiochem Summary,TSS,mg/L,,,,,,,,
PAH Summary,Naphthalene,μg/L,,,,,,,,
PAH Summary,2-Chloronaphthalene,μg/L,,,,,,,,
PAH Summary,Acenaphthene,μg/L,,,,,,,,
PAH Summary,Fluorene,μg/L,,,,,,,,
PAH Summary,9h-fluorene-9methylene,μg/L,,,,,,,,
PAH Summary,Fluoranthene,μg/L,,,,,,,,
PAH Summary,Pyrene,μg/L,,,,,,,,
PAH Summary,Triphenylene,μg/L,,,,,,,,
PAH Summary,Benzo[j] fluoranthene,μg/L,,,,,,,,
PAH Summary,Chrysene,μg/L,,,,,,,,
PAH Summary,"Dibenz[a,h]anthracene",μg/L,,,,,,,,
PAH Summary,Benzo[ghi] perylene,μg/L,,,,,,,,
PAH Summary,Dibutylphthalate,μg/L,,,,,,,,
PAH Summary,Benzylbutylphthalate,μg/L,,,,,,,,
PAH Summary,Bis(2-ethylhexyl)phthalate,μg/L,,,,,,,,
PAH Summary,"2,4-Dimethylphenol",μg/L,,,,,,,,
PAH Summary,"2,4-Dichlorophenol",μg/L,,,,,,,,
PAH Summary,4-Chloro-3-methylphenol,μg/L,,,,,,,,
PAH Summary,Bis(2-chloroethyl) ether,μg/L,,,,,,,,
PAH Summary,Nitrobenzene,μg/L,,,,,,,,
PAH Summary,Isophorone,μg/L,,,,,,,,
PAH Summary,Bis(2-chloroethoxy)methane,μg/L,,,,,,,,
BOD Summary,BOD,mg/L,,Class D,Class D,Class D,Class D,Class D,Class D,Class B
Onsite Summary,pH,pH scale,Above Range,Class A,Class A,Class A,Class A,Class A,Class A,Above Range
Onsite Summary,TDS,mg/L,,,,,,,,
Onsite Summary,DO,mg/L,Class A,Class A,Class E,Class A,Class A,Class E,Class A,Class A
Onsite Summary,Temperature,Celsius,,,,,,,,
Pesticides - 104,Beta lindane,μg/L,,,,,,,,
Pesticides - 104,Delta lindane,μg/L,,,,,,,,
Pesticides - 104,Alpha lindane,μg/L,,,,,,,,
Pesticides - 104,Gamma lindane,μg/L,,,,,,,,
Pesticides - 104,Heptachlor,μg/L,,,,,,,,
Pesticides - 104,Heptachlor epoxide,μg/L,,,,,,,,
Pesticides - 104,Chlordane,μg/L,,,,,,,,
Pesticides - 104,Alpha endosulfan,μg/L,,,,,,,,
Pesticides - 104,Trans chlordane,μg/L,,,,,,,,
Pesticides - 104,"p, p'-DDE",μg/L,,,,,,,,
Pesticides - 104,Endrin aldehyde,μg/L,,,,,,,,
Pesticides - 104,Endosulfan sulfate,μg/L,,,,,,,,
Pesticides - 104,"p, p'-DDT",μg/L,,,,,,,,
Pesticides - 104,Methoxychlor,μg/L,,,,,,,,
Pesticides - 104,Sulfotep,μg/L,,,,,,,,
Pesticides - 104,"o, o, o-triethyl
thiophosphate",μg/L,,,,,,,,
WATER SUMMARY,Final Classification,,,,,,,,,
Conditional formatting: values above recommended standard,,,,,,,,,,
,,,,,,,,,,
PERCENT Comparison for Canada Aquatic - Long Term,,,,,,,,,,
TAB,PARAMETER,UNIT,M0101,M0102,M0103,M0104,M0105,M0106,M0107,M0108
Physiochem Summary,pH,pH scale,Within Range,Within Range,,Within Range,Within Range,Within Range,Within Range,Within Range
Physiochem Summary,Temperature,°C,Review Narrative,Review Narrative,,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative
Physiochem Summary,Total Dissolved Solids,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,EC,µS/cm,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Turbidity,NTU,Review Narrative,Review Narrative,,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative
Physiochem Summary,Ammonia as NH3,mg/L,1754%,15789%,,15789%,5263%,15789%,15789%,1754%
Physiochem Summary,Sulphide as S^{2-},mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Chloride as Cl^{-},mg/L,201%,158%,,305%,186%,132%,155%,158%
Physiochem Summary,Total Hardness as CaCO_{3},mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Calcium as Ca,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Magnesium as Mg,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,P-Alkalinity as CaCO_{3},mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,OH-Alkalinity,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,CO3-Alkalinity,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,HCO3-Alkalinity,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Total Alkalinity as CaCO_{3},mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Nitrate as NO_{3},mg/L,685%,918%,,882%,818%,2095%,1900%,944%
Physiochem Summary,Nitrite as NO_{2},mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Fluoride as F^{-},mg/L,2611%,1472%,,722%,667%,30722%,3444%,3417%
Physiochem Summary,Sulphate as SO_{4},mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Phosphorus as P,mg/L,Review Narrative,Review Narrative,,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative
Physiochem Summary,Chromium (VI),mg/L,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A
Physiochem Summary,COD,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,Oil & Grease,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Physiochem Summary,TSS,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Naphthalene,μg/L,13%,31%,,34%,101%,59%,68%,62%
PAH Summary,2-Chloronaphthalene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Acenaphthene,μg/L,4%,2%,,5%,35%,37%,38%,26%
PAH Summary,Fluorene,μg/L,2%,3%,,18%,92%,84%,91%,63%
PAH Summary,9h-fluorene-9methylene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Fluoranthene,μg/L,283%,445%,,510%,1113%,683%,725%,408%
PAH Summary,Pyrene,μg/L,199%,305%,,423%,1227%,815%,803%,460%
PAH Summary,Triphenylene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Benzo[j] fluoranthene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Chrysene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,"Dibenz[a,h]anthracene",μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Benzo[ghi] perylene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Dibutylphthalate,μg/L,6%,7%,,5%,6%,51%,9%,6%
PAH Summary,Benzylbutylphthalate,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Bis(2-ethylhexyl)phthalate,μg/L,218%,153%,,98%,165%,127%,100%,133%
PAH Summary,"2,4-Dimethylphenol",μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,"2,4-Dichlorophenol",μg/L,15%,67%,,75%,18%,176%,22%,14%
PAH Summary,4-Chloro-3-methylphenol,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Bis(2-chloroethyl) ether,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Nitrobenzene,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Isophorone,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
PAH Summary,Bis(2-chloroethoxy)methane,μg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
BOD Summary,BOD,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Onsite Summary,pH,pH scale,Within Range,Within Range,Within Range,Within Range,Within Range,Within Range,Within Range,Within Range
Onsite Summary,TDS,mg/L,Not in Standard,Not in Standard,,Not in Standard,Not in Standard,Not in Standard,Not in Standard,Not in Standard
Onsite Summary,DO,mg/L,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative
Onsite Summary,Temperature,Celsius,Review Narrative,Review Narrative,,Review Narrative,Review Narrative,Review Narrative,Review Narrative,Review Narrative
Pesticides - 104,Beta lindane,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Delta lindane,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Alpha lindane,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Gamma lindane,μg/L,,,,7980%,,,,
Pesticides - 104,Heptachlor,μg/L,,,,670%,,,,
Pesticides - 104,Heptachlor epoxide,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Chlordane,μg/L,,,,BDL,,,,
Pesticides - 104,Alpha endosulfan,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Trans chlordane,μg/L,,,,Not in Standard,,,,
Pesticides - 104,"p, p'-DDE",μg/L,,,,Not in Standard,,,,
Pesticides - 104,Endrin aldehyde,μg/L,,,,Not in Standard,,,,
Pesticides - 104,Endosulfan sulfate,μg/L,,,,Not in Standard,,,,
Pesticides - 104,"p, p'-DDT",μg/L,,,,Not in Standard,,,,
